Date,CountOfPersons
2019-05-19 08:40:00,1
2019-05-19 08:45:00,0
2019-05-19 08:50:00,0
2019-05-19 08:55:00,8
2019-05-19 09:00:00,5
2019-05-19 09:05:00,0
2019-05-19 09:10:00,0
2019-05-19 09:15:00,0
2019-05-19 09:20:00,0
2019-05-19 09:25:00,0
2019-05-19 09:30:00,0
2019-05-19 09:35:00,0
2019-05-19 09:40:00,0
2019-05-19 09:45:00,0
2019-05-19 09:50:00,0
2019-05-19 09:55:00,3
2019-05-19 10:00:00,7
2019-05-19 10:05:00,0
2019-05-19 10:10:00,5
2019-05-19 10:15:00,0
2019-05-19 10:20:00,0
2019-05-19 10:25:00,1
2019-05-19 10:30:00,1
2019-05-19 10:35:00,0
2019-05-19 10:40:00,6
2019-05-19 10:45:00,1
2019-05-19 10:50:00,0
2019-05-19 10:55:00,0
2019-05-19 11:00:00,1
2019-05-19 11:05:00,0
2019-05-19 11:10:00,0
2019-05-19 11:15:00,1
2019-05-19 11:20:00,2
2019-05-19 11:25:00,2
2019-05-19 11:30:00,0
2019-05-19 11:35:00,0
2019-05-19 11:40:00,5
2019-05-19 11:45:00,8
2019-05-19 11:50:00,5
2019-05-19 11:55:00,17
2019-05-19 12:00:00,2
2019-05-19 12:05:00,1
2019-05-19 12:10:00,10
2019-05-19 12:15:00,7
2019-05-19 12:20:00,10
2019-05-19 12:25:00,16
2019-05-19 12:30:00,15
2019-05-19 12:35:00,18
2019-05-19 12:40:00,17
2019-05-19 12:45:00,13
2019-05-19 12:50:00,26
2019-05-19 12:55:00,23
2019-05-19 13:00:00,9
2019-05-19 13:05:00,3
2019-05-19 13:10:00,3
2019-05-19 13:15:00,9
2019-05-19 13:20:00,3
2019-05-19 13:25:00,2
2019-05-19 13:30:00,398
2019-05-19 13:35:00,333
2019-05-19 13:40:00,195
2019-05-19 13:45:00,219
2019-05-19 13:50:00,202
2019-05-19 13:55:00,260
2019-05-19 14:00:00,257
2019-05-19 14:05:00,310
2019-05-19 14:10:00,383
2019-05-19 14:15:00,510
2019-05-19 14:20:00,576
2019-05-19 14:25:00,614
2019-05-19 14:30:00,649
2019-05-19 14:35:00,669
2019-05-19 14:40:00,682
2019-05-19 14:45:00,722
2019-05-19 14:50:00,705
2019-05-19 14:55:00,741
2019-05-19 15:00:00,712
2019-05-19 15:05:00,416
2019-05-19 15:10:00,389
2019-05-19 15:15:00,245
2019-05-19 15:20:00,181
2019-05-19 15:25:00,98
2019-05-19 15:30:00,28
2019-05-19 15:35:00,19
2019-05-19 15:40:00,14
2019-05-19 15:45:00,5
2019-05-19 15:50:00,5
2019-05-19 15:55:00,3
2019-05-19 16:00:00,1
2019-05-19 16:05:00,4
2019-05-19 16:10:00,0
2019-05-19 16:15:00,1
2019-05-19 16:20:00,0
2019-05-19 16:25:00,2
2019-05-19 16:30:00,1
2019-05-19 16:35:00,7
