Date,CountOfPersons
2019-05-19 13:25:00,9
2019-05-19 13:30:00,198
2019-05-19 13:35:00,110
2019-05-19 13:40:00,38
2019-05-19 13:45:00,39
2019-05-19 13:50:00,115
2019-05-19 13:55:00,66
2019-05-19 14:00:00,111
2019-05-19 14:05:00,69
2019-05-19 14:10:00,119
2019-05-19 14:15:00,198
2019-05-19 14:20:00,153
2019-05-19 14:25:00,161
2019-05-19 14:30:00,155
2019-05-19 14:35:00,122
2019-05-19 14:40:00,82
2019-05-19 14:45:00,60
2019-05-19 14:50:00,21
2019-05-19 14:55:00,16
2019-05-19 15:00:00,15
2019-05-19 15:05:00,13
2019-05-19 15:10:00,24
2019-05-19 15:15:00,15
2019-05-19 15:20:00,10
2019-05-19 15:25:00,12
2019-05-19 15:30:00,3
2019-05-19 15:35:00,2
2019-05-19 15:40:00,0
2019-05-19 15:45:00,3
2019-05-19 15:50:00,4
2019-05-19 15:55:00,0
2019-05-19 16:00:00,0
2019-05-19 16:05:00,0
2019-05-19 16:10:00,0
2019-05-19 16:15:00,2
2019-05-19 16:20:00,0
2019-05-19 16:25:00,0
2019-05-19 16:30:00,0
2019-05-19 16:35:00,0
2019-05-19 16:40:00,0
2019-05-19 16:45:00,2
