Date,CountOfPersons
2019-09-22 08:55:00,1
2019-09-22 09:00:00,0
2019-09-22 09:05:00,0
2019-09-22 09:10:00,0
2019-09-22 09:15:00,0
2019-09-22 09:20:00,0
2019-09-22 09:25:00,0
2019-09-22 09:30:00,0
2019-09-22 09:35:00,0
2019-09-22 09:40:00,0
2019-09-22 09:45:00,0
2019-09-22 09:50:00,0
2019-09-22 09:55:00,2
2019-09-22 10:00:00,0
2019-09-22 10:05:00,0
2019-09-22 10:10:00,0
2019-09-22 10:15:00,0
2019-09-22 10:20:00,0
2019-09-22 10:25:00,0
2019-09-22 10:30:00,0
2019-09-22 10:35:00,0
2019-09-22 10:40:00,0
2019-09-22 10:45:00,0
2019-09-22 10:50:00,0
2019-09-22 10:55:00,0
2019-09-22 11:00:00,0
2019-09-22 11:05:00,0
2019-09-22 11:10:00,0
2019-09-22 11:15:00,0
2019-09-22 11:20:00,0
2019-09-22 11:25:00,0
2019-09-22 11:30:00,17
2019-09-22 11:35:00,5
2019-09-22 11:40:00,2
2019-09-22 11:45:00,18
2019-09-22 11:50:00,55
2019-09-22 11:55:00,18
2019-09-22 12:00:00,63
2019-09-22 12:05:00,89
2019-09-22 12:10:00,138
2019-09-22 12:15:00,205
2019-09-22 12:20:00,219
2019-09-22 12:25:00,296
2019-09-22 12:30:00,314
2019-09-22 12:35:00,440
2019-09-22 12:40:00,427
2019-09-22 12:45:00,448
2019-09-22 12:50:00,449
2019-09-22 12:55:00,496
2019-09-22 13:00:00,506
2019-09-22 13:05:00,460
2019-09-22 13:10:00,491
2019-09-22 13:15:00,510
2019-09-22 13:20:00,391
2019-09-22 13:25:00,79
2019-09-22 13:30:00,33
2019-09-22 13:35:00,15
2019-09-22 13:40:00,32
2019-09-22 13:45:00,10
2019-09-22 13:50:00,9
2019-09-22 13:55:00,5
2019-09-22 14:00:00,1
2019-09-22 14:05:00,2
2019-09-22 14:10:00,0
2019-09-22 14:15:00,5
