Date,CountOfPersons
2020-01-29 18:50:00,2
2020-01-29 18:55:00,0
2020-01-29 19:00:00,123
2020-01-29 19:05:00,146
2020-01-29 19:10:00,127
2020-01-29 19:15:00,148
2020-01-29 19:20:00,135
2020-01-29 19:25:00,123
2020-01-29 19:30:00,127
2020-01-29 19:35:00,120
2020-01-29 19:40:00,87
2020-01-29 19:45:00,40
2020-01-29 19:50:00,67
2020-01-29 19:55:00,13
2020-01-29 20:00:00,9
2020-01-29 20:05:00,4
2020-01-29 20:10:00,2
2020-01-29 20:15:00,11
2020-01-29 20:20:00,1
2020-01-29 20:25:00,2
2020-01-29 20:30:00,1
2020-01-29 20:35:00,1
2020-01-29 20:40:00,0
2020-01-29 20:45:00,4
2020-01-29 20:50:00,3
2020-01-29 20:55:00,0
2020-01-29 21:00:00,0
2020-01-29 21:05:00,0
2020-01-29 21:10:00,0
2020-01-29 21:15:00,0
2020-01-29 21:20:00,0
2020-01-29 21:25:00,1
