Date,CountOfPersons
2019-09-22 10:40:00,2
2019-09-22 10:45:00,0
2019-09-22 10:50:00,0
2019-09-22 10:55:00,0
2019-09-22 11:00:00,0
2019-09-22 11:05:00,0
2019-09-22 11:10:00,0
2019-09-22 11:15:00,0
2019-09-22 11:20:00,0
2019-09-22 11:25:00,0
2019-09-22 11:30:00,36
2019-09-22 11:35:00,9
2019-09-22 11:40:00,31
2019-09-22 11:45:00,52
2019-09-22 11:50:00,31
2019-09-22 11:55:00,57
2019-09-22 12:00:00,62
2019-09-22 12:05:00,93
2019-09-22 12:10:00,126
2019-09-22 12:15:00,163
2019-09-22 12:20:00,245
2019-09-22 12:25:00,302
2019-09-22 12:30:00,483
2019-09-22 12:35:00,498
2019-09-22 12:40:00,595
2019-09-22 12:45:00,549
2019-09-22 12:50:00,587
2019-09-22 12:55:00,596
2019-09-22 13:00:00,592
2019-09-22 13:05:00,599
2019-09-22 13:10:00,596
2019-09-22 13:15:00,599
2019-09-22 13:20:00,446
2019-09-22 13:25:00,99
2019-09-22 13:30:00,59
2019-09-22 13:35:00,21
2019-09-22 13:40:00,7
2019-09-22 13:45:00,6
2019-09-22 13:50:00,6
2019-09-22 13:55:00,2
2019-09-22 14:00:00,4
