Date,CountOfPersons
2020-01-29 18:20:00,5
2020-01-29 18:25:00,3
2020-01-29 18:30:00,8
2020-01-29 18:35:00,17
2020-01-29 18:40:00,28
2020-01-29 18:45:00,21
2020-01-29 18:50:00,31
2020-01-29 18:55:00,47
2020-01-29 19:00:00,73
2020-01-29 19:05:00,98
2020-01-29 19:10:00,108
2020-01-29 19:15:00,205
2020-01-29 19:20:00,270
2020-01-29 19:25:00,298
2020-01-29 19:30:00,384
2020-01-29 19:35:00,411
2020-01-29 19:40:00,417
2020-01-29 19:45:00,374
2020-01-29 19:50:00,444
2020-01-29 19:55:00,445
2020-01-29 20:00:00,451
2020-01-29 20:05:00,473
2020-01-29 20:10:00,492
2020-01-29 20:15:00,585
2020-01-29 20:20:00,525
2020-01-29 20:25:00,614
2020-01-29 20:30:00,169
2020-01-29 20:35:00,10
2020-01-29 20:40:00,4
2020-01-29 20:45:00,6
2020-01-29 20:50:00,3
2020-01-29 20:55:00,4
2020-01-29 21:00:00,0
2020-01-29 21:05:00,0
2020-01-29 21:10:00,2
